['VZ', 0, 0, 1, 0, 0]
['VZ', 57.70732065969894, 57.71596626004649, 57.72735572454912, 57.74436465500401, 57.75770110059776]

['T', 0, 0, 1, 0, 0]
['T', 29.778121245646968, 29.805928390253104, 29.80684086021239, 29.809381194351225, 29.81128780843008]

['WMT', 0, 0, 1, 0, 0]
['WMT', 140.09807504768128, 140.17919778446557, 140.22593240947043, 140.22770702494276, 140.26461394294398]

['MGM', 0, 0, 1, 0, 0]
['MGM', 39.695632355576514, 39.65100157722403, 39.6402918160308, 39.65777449692961, 39.69764348001514]

['GPS', 0, 0, 1, 0, 0]
['GPS', 32.78809026489887, 32.775694548271574, 32.79001570452659, 32.799744484693306, 32.80933308730535]

['GT', 0, 0, 1, 0, 0]
['GT', 17.90614303766115, 17.923261115209392, 17.929562860323177, 17.92797580641736, 17.928559036304087]

['BBY', 0, 0, 1, 0, 0]
['BBY', 119.34832608703172, 119.40396863477632, 119.42899479818263, 119.46867968252509, 119.50848435675736]

['AFG', 0, 0, 1, 0, 0]
['AFG', 118.95306737803297, 118.96578424272884, 118.97967874013999, 119.02004177267642, 119.05209190545708]

['ERJ', 0, 0, 1, 0, 0]
['ERJ', 11.420771009812555, 11.415873174383746, 11.39756540888508, 11.38792782397314, 11.380536075955956]

['MYE', 0, 0, 1, 0, 0]
['MYE', 21.242730326048896, 21.283682763190274, 21.277974645081112, 21.28809951096847, 21.310656946672466]

['ECPG', 0, 0, 1, 0, 0]
['ECPG', 37.92036559354385, 37.9310914031479, 37.990613828392014, 38.0389443629625, 38.0588836902235]

['GCO', 0, 0, 1, 0, 0]
['GCO', 49.64599765945991, 49.54189041338853, 49.63513800653154, 49.59847503072424, 49.6189004636621]

['MPC', 0, 0, 1, 0, 0]
['MPC', 53.88161420358586, 53.90225853788398, 53.9704315263897, 54.055916815865324, 54.07284804070761]

['TRI', 0, 0, 1, 0, 0]
['TRI', 91.85433255126428, 91.90320150786248, 91.9399935307072, 91.99878565812142, 92.00927304365715]

['UFI', 0, 0, 1, 0, 0]
['UFI', 28.474500636909088, 28.44679182824858, 28.47023375590153, 28.466010310499197, 28.46517899734761]

